DateTime,Sensor_id,Vendor,SensorModel,LAT,LONG,Zone,Pm1_0,Pm2_5,Pm10,SO2,O3,CO,NO2,AlertTriggered,SensorStatus
2021-05-16T03:52:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T03:55:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T03:58:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T04:01:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T04:04:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T04:07:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T04:10:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T04:13:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T04:16:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T04:19:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T04:22:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T04:25:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T04:28:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T04:31:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T04:34:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T04:37:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T04:40:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T04:43:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T04:46:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T04:49:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T04:52:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T04:55:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T04:58:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T05:01:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T05:04:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T05:07:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T05:10:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T05:13:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T05:16:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T05:19:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T05:22:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T05:25:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T05:28:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T05:31:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,10,13,0,0,0,0,None,Normal
2021-05-16T05:34:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T05:37:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T05:40:27,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T05:43:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T05:46:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T05:49:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T05:52:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
